Name,Location,Ranking,ProgramDetails,TuitionFees
University of Pardubice,Czech Republic,Not ranked,Bachelor of Business Administration,"High School Diploma, Entrance Exam","$3,000 per year",Minimum B average,6.0
University of Pardubice,Czech Republic,Not ranked,Master of Computer Science,"Bachelor's degree in related field, Statement of Purpose","$4,500 per year",Minimum B+ average,6.5
University of Pardubice,Czech Republic,Not ranked,PhD in Chemistry,"Master's degree in Chemistry, Research Proposal","$2,500 per year",Minimum A- average,7.0
Brock University,Canada,Not in top rankings,Bachelor of Business Administration,"High school diploma, minimum GPA of 70%, IELTS 6.5","$22,695 per year",70% and above,6.5
Brock University,Canada,Not in top rankings,Bachelor of Arts in Psychology,"High school diploma, minimum GPA of 75%, IELTS 6.5","$23,595 per year",75% and above,6.5
Brock University,Canada,Not in top rankings,Bachelor of Science in Computer Science,"High school diploma, minimum GPA of 75%, IELTS 6.5","$24,695 per year",75% and above,6.5
Central University of Jharkhand,India,Not in top rankings,Bachelor of Technology in Computer Science,"Higher Secondary Certificate, minimum 50%, IELTS 6.0","INR 50,000 per year",50% and above,6.0
Central University of Jharkhand,India,Not in top rankings,Bachelor of Arts in English Literature,"Higher Secondary Certificate, minimum 45%, IELTS 6.0","INR 45,000 per year",45% and above,6.0
Central University of Jharkhand,India,Not in top rankings,Bachelor of Science in Environmental Science,"Higher Secondary Certificate, minimum 55%, IELTS 6.5","INR 48,000 per year",55% and above,6.5
University of Fribourg,Switzerland,Not in Top Rankings,Bachelor in Economics,"High School Diploma, B2 Level in French or German","$1,000 - $2,000 per year",High school average of 70%,6.0
University of Fribourg,Switzerland,Not in Top Rankings,Master in Computer Science,"Bachelor's Degree in related field, B2 Level in French or German","$1,500 - $3,000 per year",Minimum GPA of 3.0,6.5
University of Fribourg,Switzerland,Not in Top Rankings,PhD in Chemistry,"Master's Degree in Chemistry, B2 Level in French or German","$1,000 - $2,500 per year",Previous academic performance in related field,7.0
University of La Rochelle,France,Not ranked,Bachelor in Business Administration,"High school diploma, French Baccalaureate or equivalent, IELTS 6.0","$7,000 per year",Minimum GPA of 2.5,6.0
University of La Rochelle,France,Not ranked,Master in International Business,"Bachelor's degree, IELTS 6.5","$9,500 per year",Minimum GPA of 3.0,6.5
University of La Rochelle,France,Not ranked,Bachelor in Computer Science,"High school diploma, French Baccalaureate or equivalent, IELTS 6.0","$6,500 per year",Minimum GPA of 2.8,6.0
University of La Rochelle,France,Not ranked,Master in Marketing Management,"Bachelor's degree, IELTS 6.5","$8,000 per year",Minimum GPA of 3.2,6.5
University of Calabria,Italy,Not ranked,Bachelor in Mechanical Engineering,"High school diploma, IELTS 6.5","€1,000 per year",Minimum GPA of 2.7,6.5
University of Calabria,Italy,Not ranked,Master in Computer Science,"Bachelor's degree, IELTS 7.0","€1,200 per year",Minimum GPA of 3.0,7.0
University of Calabria,Italy,Not ranked,Bachelor in Economics,"High school diploma, IELTS 6.0",€900 per year,Minimum GPA of 2.5,6.0
University of Calabria,Italy,Not ranked,Master in Civil Engineering,"Bachelor's degree, IELTS 6.5","€1,100 per year",Minimum GPA of 2.8,6.5
University of Guayaquil,Ecuador,Not ranked,Bachelor in Psychology,"High school diploma, IELTS 6.0","$2,000 per year",Minimum GPA of 2.5,6.0
University of Guayaquil,Ecuador,Not ranked,Master in Public Health,"Bachelor's degree, IELTS 6.5","$3,000 per year",Minimum GPA of 2.8,6.5
University of Guayaquil,Ecuador,Not ranked,Bachelor in Education,"High school diploma, IELTS 6.0","$1,800 per year",Minimum GPA of 2.2,6.0
University of Guayaquil,Ecuador,Not ranked,Master in Business Administration,"Bachelor's degree, IELTS 6.5","$2,500 per year",Minimum GPA of 2.5,6.5
University of Seville,Spain,Not ranked,Bachelor of Business Administration,"High School Diploma, Spanish language proficiency","€1,500 per year",Minimum GPA 2.5,6.0
University of Seville,Spain,Not ranked,Master of Computer Science,"Bachelor's degree, Spanish language proficiency","€2,000 per year",Minimum GPA 3.0,6.5
University of Nairobi,Kenya,Not ranked,Bachelor of Economics,High School Diploma,"KSh 100,000 per year",Minimum GPA 2.5,6.0
University of Nairobi,Kenya,Not ranked,Master of Business Administration,Bachelor's degree,"KSh 150,000 per year",Minimum GPA 3.0,6.5
The University of Western Sydney,"Sydney, Australia",Not in top rankings,Bachelor of Arts in Sociology,"High school diploma, minimum GPA of 2.5","$6,000 per year",GPA 2.5 or equivalent,Overall 6.0
The University of Western Sydney,"Sydney, Australia",Not in top rankings,Master of Engineering in Civil Engineering,"Bachelor's degree in Engineering, minimum GPA of 2.7","$8,000 per year",GPA 2.7 or equivalent,Overall 6.5
The University of Western Sydney,"Sydney, Australia",Not in top rankings,Ph.D. in Psychology,Master's degree in Psychology or related field,"$5,000 per year",Master's degree with research experience,Overall 7.0
University of Economics in Bratislava,"Bratislava, Slovakia",Not available,Bachelor in International Business,"High School Diploma, Entrance Exam, IELTS 6.5","$3,000 per year",Minimum GPA 3.0,6.5
University of Economics in Bratislava,"Bratislava, Slovakia",Not available,Master in Finance,"Bachelor's Degree, Entrance Exam, IELTS 6.5","$4,000 per year",Minimum GPA 3.2,6.5
University of Economics in Bratislava,"Bratislava, Slovakia",Not available,PhD in Economics,"Master's Degree, Research Proposal, IELTS 7.0","$2,500 per year",Minimum GPA 3.5,7.0
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Bachelor of Business Administration,"High School Diploma, Letter of Recommendation, Personal Statement","€3,500 per year",Minimum 70% in high school,6.0
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Bachelor of Computer Science,"High School Diploma, Letter of Recommendation, Personal Statement","€3,500 per year",Minimum 65% in high school,6.0
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Bachelor of Psychology,"High School Diploma, Letter of Recommendation, Personal Statement","€3,500 per year",Minimum 60% in high school,6.0
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Master of Business Administration,"Bachelor's degree, Work Experience, Statement of Purpose","€4,500 per year",Minimum 2.5 GPA in bachelor's,6.5
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Master of International Relations,"Bachelor's degree, Work Experience, Statement of Purpose","€4,500 per year",Minimum 2.7 GPA in bachelor's,6.5
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,Master of Computer Engineering,"Bachelor's degree, Work Experience, Statement of Purpose","€4,500 per year",Minimum 2.7 GPA in bachelor's,6.5
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,PhD in Business Administration,"Master's degree, Research Proposal, Interview","€5,500 per year",Minimum 3.0 GPA in master's,7.0
University of Kyrenia,"Kyrenia, Cyprus",Not ranked,PhD in Computer Science,"Master's degree, Research Proposal, Interview","€5,500 per year",Minimum 3.0 GPA in master's,7.0
Heilbronn University,Germany,Not ranked,Bachelor in Business Administration,"High school diploma, German language proficiency (B2 level), IELTS 6.0","$3,000 per semester",Minimum GPA of 2.5,6.0
Heilbronn University,Germany,Not ranked,Master in Computer Science,"Bachelor's degree, German language proficiency (C1 level), IELTS 6.5","$2,000 per semester",Minimum GPA of 3.0,6.5
University of North Texas,USA,Not ranked,Bachelor in Information Technology,"High school diploma, SAT score of 1000, IELTS 6.5","$8,000 per semester",Minimum GPA of 2.8,6.5
University of North Texas,USA,Not ranked,Master in Public Administration,"Bachelor's degree, GRE score of 300, IELTS 7.0","$10,000 per semester",Minimum GPA of 3.0,7.0
University of Applied Sciences Offenburg,Germany,Not Ranked,Master's in Renewable Energy Systems,"Bachelor's degree in Engineering or related field, GPA 2.5 or equivalent, IELTS 6.0","$3,000 per semester",GPA 2.5,6.0
University of Applied Sciences Offenburg,Germany,Not Ranked,Bachelor's in Business Administration,"High school diploma, GPA 2.0 or equivalent, IELTS 5.5","$2,500 per semester",GPA 2.0,5.5
Berlin International University of Applied Sciences,Germany,Not ranked,Bachelor in International Business Administration,"High school diploma, letter of motivation, CV, English language proficiency (IELTS 6.0)","€8,000 per year",Minimum GPA of 2.5,6.0
Berlin International University of Applied Sciences,Germany,Not ranked,Master in International Tourism Management,"Bachelor's degree, letter of motivation, CV, English language proficiency (IELTS 6.5)","€9,500 per year",Minimum GPA of 3.0,6.5
University of Southern Maine,USA,Not ranked,Bachelor of Arts in Political Science,"High school diploma, letters of recommendation, English language proficiency (IELTS 6.5)","$10,000 per year",Minimum GPA of 2.0,6.5
University of Southern Maine,USA,Not ranked,Master of Science in Environmental Science,"Bachelor's degree, statement of purpose, GRE scores, English language proficiency (IELTS 7.0)","$12,500 per year",Minimum GPA of 3.0,7.0
University of Ballarat,Australia,Not ranked,Bachelor of Nursing,"High school diploma, interview, English language proficiency (IELTS 7.0)","A$12,000 per year",Minimum GPA of 2.5,7.0
University of Ballarat,Australia,Not ranked,Master of Business Administration,"Bachelor's degree, GMAT scores, English language proficiency (IELTS 6.5)","A$15,500 per year",Minimum GPA of 3.0,6.5
Amity University Mumbai,India,Not ranked,Bachelor of Technology in Computer Science,"High school diploma, entrance exam, English language proficiency (IELTS 6.0)","₹200,000 per year",Minimum 60% in relevant subjects,6.0
Amity University Mumbai,India,Not ranked,Master of Science in Biotechnology,"Bachelor's degree, entrance exam, English language proficiency (IELTS 6.5)","₹250,000 per year",Minimum 60% in relevant subjects,6.5
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Science in Computer Science,"High School Diploma, Mathematics background","$1,500 per year",Minimum GPA 2.5,6.0
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Arts in English Literature,High School Diploma,"$1,200 per year",Minimum GPA 2.0,6.5
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Business Administration,High School Diploma,"$1,800 per year",Minimum GPA 2.8,6.0
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Education in Mathematics,"High School Diploma, Mathematics background","$1,400 per year",Minimum GPA 2.5,6.5
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Science in Nursing,"High School Diploma, Biology background","$1,600 per year",Minimum GPA 2.7,6.0
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Agriculture,"High School Diploma, Science background","$1,300 per year",Minimum GPA 2.3,6.5
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Arts in History,High School Diploma,"$1,200 per year",Minimum GPA 2.0,6.0
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Science in Environmental Science,"High School Diploma, Science background","$1,500 per year",Minimum GPA 2.5,6.5
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Economics,High School Diploma,"$1,700 per year",Minimum GPA 2.8,6.0
University of Maroua,"Maroua, Cameroon",Not ranked,Bachelor of Arts in Sociology,High School Diploma,"$1,200 per year",Minimum GPA 2.0,6.5
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Engineering in Civil Engineering,"High School Diploma, Mathematics and Physics background","$2,000 per year",Minimum GPA 2.8,6.5
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Science in Biology,"High School Diploma, Biology background","$1,800 per year",Minimum GPA 2.5,6.0
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Arts in Psychology,High School Diploma,"$1,500 per year",Minimum GPA 2.3,6.5
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Business Administration,High School Diploma,"$1,700 per year",Minimum GPA 2.7,6.0
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Science in Agriculture,"High School Diploma, Science background","$1,600 per year",Minimum GPA 2.5,6.0
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Arts in English Literature,High School Diploma,"$1,400 per year",Minimum GPA 2.0,6.5
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Education in History,"High School Diploma, History background","$1,300 per year",Minimum GPA 2.3,6.0
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Science in Environmental Science,"High School Diploma, Science background","$1,800 per year",Minimum GPA 2.7,6.5
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Economics,High School Diploma,"$1,900 per year",Minimum GPA 2.8,6.0
University of Guyana,"Georgetown, Guyana",Not ranked,Bachelor of Arts in Sociology,High School Diploma,"$1,400 per year",Minimum GPA 2.0,6.5
University of Shenzhen,"Shenzhen, China",Not ranked,Computer Science,"High school diploma, Mathematics background, Interview","$5,000 per year",Minimum 70% in high school,6.0
University of Shenzhen,"Shenzhen, China",Not ranked,Business Administration,"High school diploma, Essay submission","$4,500 per year",Minimum 65% in high school,6.5
University of Shenzhen,"Shenzhen, China",Not ranked,Environmental Science,"High school diploma, Letter of recommendation","$4,200 per year",Minimum 60% in high school,6.0
University of Shenzhen,"Shenzhen, China",Not ranked,Hospitality Management,"High school diploma, Personal statement","$4,800 per year",Minimum 65% in high school,6.0
